arm,pass,topology,scenario_id,agent,model,status,submitted,is_anomaly,outcome_score,fix_score,reasoning_score,tool_calls,in_tokens,cache_read_tokens,cache_write_tokens,out_tokens,cost_usd,wall_seconds
base80,p1,dc_clos_bgp,dc-clos-pc0-wrong-gateway,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,3,7,25030,10307,2242,0.080803,184.3
base80,p1,dc_clos_bgp,dc-clos-pc0-wrong-gateway,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,8,7286,9856,0,4178,0.052119,250.9
base80,p1,dc_clos_bgp,dc-clos-pc0-wrong-gateway,sade,claude-sonnet-4-6,scored,True,True,0.85,1.0,1.0,9,18,109555,17991,5518,0.184169,279.9
base80,p1,dc_clos_bgp,dc-clos-spine0-bgpd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,17,11,92255,19859,5829,0.190584,250.2
base80,p1,dc_clos_bgp,dc-clos-spine0-bgpd-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,7,4533,0,0,2937,0.035036,208.7
base80,p1,dc_clos_bgp,dc-clos-spine0-bgpd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,10,20,138104,20864,6453,0.217479,261.1
base80,p1,dc_clos_bgp,dc-clos-spine1-wrong-remote-as,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8333333333333334,7,9,50471,11551,2947,0.103665,200.9
base80,p1,dc_clos_bgp,dc-clos-spine1-wrong-remote-as,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,8,7273,2944,0,3246,0.041919,285.6
base80,p1,dc_clos_bgp,dc-clos-spine1-wrong-remote-as,sade,claude-sonnet-4-6,scored,True,True,0.825,1.0,0.9666666666666667,11,21,124310,18028,4700,0.176431,276.6
base80,p1,dc_clos_bgp,dc-clos-superspine-zebra-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,13,10,74327,18669,6174,0.185926,257.0
base80,p1,dc_clos_bgp,dc-clos-superspine-zebra-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.8333333333333334,8,8566,1408,0,4842,0.059304,297.7
base80,p1,dc_clos_bgp,dc-clos-superspine-zebra-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,11,20,131825,19273,4774,0.18445,253.8
base80,p1,Kath1,kath1-csw1-r1-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,10,9,63766,22912,8667,0.237769,300.5
base80,p1,Kath1,kath1-csw1-r1-link-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.8000000000000002,11,12917,26368,0,6473,0.084172,246.0
base80,p1,Kath1,kath1-csw1-r1-link-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,14,20,161431,27919,6099,0.247323,277.6
base80,p1,Kath1,kath1-csw1-uplink-passive,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,8,9,57863,13722,2662,0.11147,244.5
base80,p1,Kath1,kath1-csw1-uplink-passive,react-full,gpt-5,scored,True,True,1.0,1.0,0.8666666666666667,5,4325,21376,0,2666,0.034738,245.8
base80,p1,Kath1,kath1-csw1-uplink-passive,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,13,20,175173,29852,8208,0.290369,361.8
base80,p1,Kath1,kath1-dswa1-vlan10-svi-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.7499999999999999,1.0,0.9,19,16,208942,29746,14722,0.397796,419.3
base80,p1,Kath1,kath1-dswa1-vlan10-svi-down,react-full,gpt-5,no_output,False,,,,,37,20493,253440,0,28213,0.339426,620.9
base80,p1,Kath1,kath1-dswa1-vlan10-svi-down,sade,claude-sonnet-4-6,no_submission,False,,,,,41,31,556824,51731,25615,0.748044,608.8
base80,p1,Kath1,kath1-ispa-ospfd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.5,0.0,0.39999999999999997,32,19,453848,96257,73966,1.609298,1467.7
base80,p1,Kath1,kath1-ispa-ospfd-down,react-full,gpt-5,scored,True,True,0.25,0.0,0.13333333333333333,16,21885,58368,0,13876,0.173412,340.4
base80,p1,Kath1,kath1-ispa-ospfd-down,sade,claude-sonnet-4-6,scored,True,True,0.7499999999999999,1.0,0.6,30,25,581882,107947,89335,1.922109,1697.4
base80,p1,Kath1,kath1-keepalived-master-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.7499999999999999,1.0,0.8333333333333334,23,14,282360,53698,30297,0.74321,700.2
base80,p1,Kath1,kath1-keepalived-master-down,react-full,gpt-5,scored,True,True,0.5,0.0,0.19999999999999998,31,34420,140416,0,18408,0.244657,357.7
base80,p1,Kath1,kath1-keepalived-master-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,31,26,554059,79382,48709,1.197265,1000.4
base80,p1,Kath1,kath1-pc3-wrong-gateway,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,12,11,90558,17073,3457,0.14574,227.0
base80,p1,Kath1,kath1-pc3-wrong-gateway,react-full,gpt-5,scored,True,True,1.0,1.0,0.7999999999999999,8,8899,49920,0,5359,0.070954,250.4
base80,p1,Kath1,kath1-pc3-wrong-gateway,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,13,21,175153,20739,5185,0.210811,267.7
base80,p1,Kath1,kath1-r1-default-route-removed,cc-baseline,claude-sonnet-4-6,no_submission,False,,,,,52,24,951436,183708,83737,2.233105,1634.7
base80,p1,Kath1,kath1-r1-default-route-removed,react-full,gpt-5,scored,True,True,1.0,1.0,0.7333333333333334,17,18569,65920,0,7569,0.107141,242.5
base80,p1,Kath1,kath1-r1-default-route-removed,sade,claude-sonnet-4-6,no_submission,False,,,,,36,31,862088,96597,62868,1.566635,1234.2
base80,p1,Kath1,kath1-r1-dhcpd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,21,14,191739,32506,14302,0.396642,404.3
base80,p1,Kath1,kath1-r1-dhcpd-down,react-full,gpt-5,scored,True,True,1.0,1.0,1.0,42,27103,159104,0,17367,0.227437,464.1
base80,p1,Kath1,kath1-r1-dhcpd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,15,23,223776,25771,7208,0.274609,295.8
base80,p1,Kath1,kath1-r1-nat-flushed,cc-baseline,claude-sonnet-4-6,scored,True,True,0.7,1.0,0.9333333333333332,11,10,85232,21138,7117,0.214254,293.7
base80,p1,Kath1,kath1-r1-nat-flushed,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,12,5844,12416,0,3870,0.047557,220.7
base80,p1,Kath1,kath1-r1-nat-flushed,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,15,17,159064,36951,19913,0.487663,527.0
base80,p1,Kath1,kath1-r1-ospfd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.7000000000000001,38,19,521288,71348,44941,1.100725,951.7
base80,p1,Kath1,kath1-r1-ospfd-down,react-full,gpt-5,scored,True,True,0.5333333333333333,0.0,0.4666666666666666,29,19318,162560,0,20646,0.250928,408.4
base80,p1,Kath1,kath1-r1-ospfd-down,sade,claude-sonnet-4-6,scored,True,True,0.3,0.0,0.7333333333333334,10,19,150805,30022,16455,0.407343,441.7
base80,p1,Kath2,kath2-pc1-wrong-netmask,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8333333333333334,8,11,80923,12572,3663,0.127929,224.4
base80,p1,Kath2,kath2-pc1-wrong-netmask,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,7,10788,25344,0,9035,0.107003,258.8
base80,p1,Kath2,kath2-pc1-wrong-netmask,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,7,15,96577,17884,4668,0.167637,237.9
base80,p1,Kath2,kath2-rip-version-mismatch,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,8,9,52239,16239,7813,0.195332,271.7
base80,p1,Kath2,kath2-rip-version-mismatch,react-full,gpt-5,scored,True,True,1.0,1.0,0.6666666666666666,10,5002,7424,0,9516,0.102341,257.1
base80,p1,Kath2,kath2-rip-version-mismatch,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,11,17,108202,20882,12633,0.301856,367.5
base80,p1,Kath2,kath2-router0-ripd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,14,13,90583,19211,7346,0.210978,279.3
base80,p1,Kath2,kath2-router0-ripd-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.8666666666666667,12,6830,50688,0,9737,0.112243,235.8
base80,p1,Kath2,kath2-router0-ripd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,20,26,272059,35507,13746,0.42257,405.9
base80,p1,Kath2,kath2-router0-wrong-static,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,6,8,38263,11893,3397,0.108573,215.9
base80,p1,Kath2,kath2-router0-wrong-static,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,10,4132,16896,0,7636,0.083637,231.3
base80,p1,Kath2,kath2-router0-wrong-static,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,13,18,126643,23218,7333,0.23663,300.6
base80,p1,Kath2,kath2-router1-ip-forward-off,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,9,9,54090,13460,4303,0.132804,217.8
base80,p1,Kath2,kath2-router1-ip-forward-off,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,8,4256,21888,0,5675,0.064806,269.3
base80,p1,Kath2,kath2-router1-ip-forward-off,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,11,18,127010,21113,6364,0.214321,310.8
base80,p1,Kath2,kath2-router1-r0-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,28,15,241262,32472,16918,0.543518,549.6
base80,p1,Kath2,kath2-router1-r0-link-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.6666666666666666,20,10245,25984,0,7388,0.089934,239.3
base80,p1,Kath2,kath2-router1-r0-link-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,15,23,189607,35335,14238,0.404544,425.9
base80,p1,Kath2,kath2-router2-acl-drops-rfc1918,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,10,9,54172,13212,3202,0.11542,206.5
base80,p1,Kath2,kath2-router2-acl-drops-rfc1918,react-full,gpt-5,scored,True,True,1.0,1.0,0.9,18,14092,26624,0,9408,0.115023,402.1
base80,p1,Kath2,kath2-router2-acl-drops-rfc1918,sade,claude-sonnet-4-6,scored,True,True,0.75,1.0,1.0,9,19,128928,20837,5114,0.19513,250.9
base80,p1,Kath2,kath2-router2-r1-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,12,9,58975,18125,8165,0.209706,297.1
base80,p1,Kath2,kath2-router2-r1-link-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.39999999999999997,4,5243,7040,0,3137,0.038804,185.3
base80,p1,Kath2,kath2-router2-r1-link-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,15,19,154153,25403,7823,0.260432,311.1
base80,p1,Kath2,kath2-router2-ripd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,13,10,72958,17672,6392,0.185609,278.3
base80,p1,Kath2,kath2-router2-ripd-down,react-full,gpt-5,scored,True,True,1.0,1.0,1.0,19,12337,22272,0,12152,0.139725,328.6
base80,p1,Kath2,kath2-router2-ripd-down,sade,claude-sonnet-4-6,scored,True,True,0.5333333333333333,0.0,0.6,12,18,122001,20715,6912,0.219538,321.4
base80,p1,Kath2,kath2-switch0-bridge-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,9,9,54394,13218,2954,0.111725,206.7
base80,p1,Kath2,kath2-switch0-bridge-down,react-full,gpt-5,scored,True,True,0.7499999999999999,1.0,0.8333333333333334,8,5559,18176,0,3864,0.047861,218.6
base80,p1,Kath2,kath2-switch0-bridge-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,13,20,143911,21168,5082,0.20035,255.7
base80,p1,Kath3,kath3-laptop0-wrong-gateway,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,17,15,153755,22517,5230,0.214621,269.1
base80,p1,Kath3,kath3-laptop0-wrong-gateway,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,12,20022,146688,0,8364,0.127003,327.3
base80,p1,Kath3,kath3-laptop0-wrong-gateway,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,20,21,261501,37462,13098,0.421032,454.5
base80,p1,Kath3,kath3-mswitch1-vlan10-trunk-misconfig,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,11,10,93407,24036,4774,0.195341,255.4
base80,p1,Kath3,kath3-mswitch1-vlan10-trunk-misconfig,react-full,gpt-5,scored,True,True,1.0,1.0,0.4666666666666666,5,11109,49280,0,5840,0.078446,263.8
base80,p1,Kath3,kath3-mswitch1-vlan10-trunk-misconfig,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,12,17,136082,31845,8063,0.286798,332.7
base80,p1,Kath3,kath3-pc11-ip-conflict,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,11,10,86200,16583,3110,0.140284,224.8
base80,p1,Kath3,kath3-pc11-ip-conflict,react-full,gpt-5,scored,True,True,1.0,1.0,0.8333333333333334,3,3042,18048,0,2360,0.029659,222.9
base80,p1,Kath3,kath3-pc11-ip-conflict,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,10,19,185789,24909,5746,0.24093,286.5
base80,p1,Kath3,kath3-pc15-wrong-gateway,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,11,10,86507,15890,2845,0.133825,232.7
base80,p1,Kath3,kath3-pc15-wrong-gateway,react-full,gpt-5,scored,True,True,1.0,1.0,1.0,9,2605,18176,0,2288,0.028408,211.1
base80,p1,Kath3,kath3-pc15-wrong-gateway,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,12,16,158661,25191,5910,0.236313,303.1
base80,p1,Kath3,kath3-pc4-ip-conflict,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,11,9,72339,19408,3592,0.153952,240.9
base80,p1,Kath3,kath3-pc4-ip-conflict,react-full,gpt-5,scored,True,True,1.0,1.0,0.9666666666666667,3,2922,18304,0,3606,0.042001,227.4
base80,p1,Kath3,kath3-pc4-ip-conflict,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,8,17,131724,22458,3958,0.188709,265.3
base80,p1,Kath3,kath3-router0-ripd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,18,12,147961,32513,11462,0.34382,391.2
base80,p1,Kath3,kath3-router0-ripd-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,23,32291,78336,0,9383,0.143986,300.8
base80,p1,Kath3,kath3-router0-ripd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,18,22,223107,37289,24512,0.580034,639.3
base80,p1,Kath3,kath3-router1-ripd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,17,11,110940,24655,8775,0.262927,330.1
base80,p1,Kath3,kath3-router1-ripd-down,react-full,gpt-5,scored,True,True,1.0,0.5,0.8333333333333334,12,22299,97536,0,17813,0.218196,426.9
base80,p1,Kath3,kath3-router1-ripd-down,sade,claude-sonnet-4-6,no_submission,False,,,,,40,29,796375,81244,53731,1.355156,1114.6
base80,p1,Kath3,kath3-router2-r1-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,0.0,0.0,0.7666666666666666,22,16,221435,38777,19235,0.505893,535.0
base80,p1,Kath3,kath3-router2-r1-link-down,react-full,gpt-5,scored,True,True,0.0,0.0,0.7666666666666666,15,11272,45184,0,5246,0.072198,277.8
base80,p1,Kath3,kath3-router2-r1-link-down,sade,claude-sonnet-4-6,scored,True,True,0.0,0.0,0.8666666666666667,16,21,251422,36513,12390,0.403749,434.1
base80,p1,Kath3,kath3-router4-r3-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,20,14,195571,27664,10225,0.321339,347.8
base80,p1,Kath3,kath3-router4-r3-link-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.8666666666666667,8,19457,62720,0,7294,0.105101,337.1
base80,p1,Kath3,kath3-router4-r3-link-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,20,24,286735,34294,13238,0.418771,532.1
base80,p1,Kath3,kath3-router6-default-route-missing,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,14,12,122527,22055,5627,0.20948,284.0
base80,p1,Kath3,kath3-router6-default-route-missing,react-full,gpt-5,scored,True,True,1.0,1.0,0.7999999999999999,3,8581,18176,0,3321,0.046208,230.7
base80,p1,Kath3,kath3-router6-default-route-missing,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,24,23,426083,63466,48441,1.098071,1030.1
base80,p1,Kath4,kath4-mswitch0-ospfd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,15,11,123544,27297,11469,0.314786,340.5
base80,p1,Kath4,kath4-mswitch0-ospfd-down,react-full,gpt-5,scored,True,True,0.6666666666666666,0.0,0.26666666666666666,7,19895,52352,0,11901,0.150423,286.7
base80,p1,Kath4,kath4-mswitch0-ospfd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,12,19,179845,31753,12680,0.366555,397.4
base80,p1,Kath4,kath4-router11-default-route-missing,cc-baseline,claude-sonnet-4-6,scored,True,False,0.5333333333333333,0.0,0.8000000000000002,49,25,730597,82361,49054,1.26722,1011.3
base80,p1,Kath4,kath4-router11-default-route-missing,react-full,gpt-5,scored,True,False,0.5333333333333333,0.0,0.9333333333333332,33,16610,196224,0,30751,0.352801,590.1
base80,p1,Kath4,kath4-router11-default-route-missing,sade,claude-sonnet-4-6,no_submission,False,,,,,39,33,727176,64364,33316,0.962669,726.1
base80,p1,Kath4,kath4-router16-ospfd-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,13,12,86577,18423,4117,0.16015,239.1
base80,p1,Kath4,kath4-router16-ospfd-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,14,12130,168320,0,20931,0.245512,455.4
base80,p1,Kath4,kath4-router16-ospfd-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,9,18,154210,29341,8882,0.292886,340.2
base80,p1,Kath4,kath4-router7-r10-link-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,10,9,62856,16717,3739,0.140953,235.5
base80,p1,Kath4,kath4-router7-r10-link-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.8000000000000002,11,10274,23040,0,10346,0.119182,314.7
base80,p1,Kath4,kath4-router7-r10-link-down,sade,claude-sonnet-4-6,scored,True,True,0.5,1.0,0.9333333333333332,14,21,209412,28242,7866,0.290059,324.3
base80,p1,Kath4,kath4-router8-ospf-area-mismatch,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,7,9,57214,12642,2560,0.106318,245.1
base80,p1,Kath4,kath4-router8-ospf-area-mismatch,react-full,gpt-5,scored,True,True,1.0,1.0,0.8333333333333334,9,8972,12928,0,2557,0.038401,250.0
base80,p1,Kath4,kath4-router8-ospf-area-mismatch,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9666666666666667,11,20,191088,29074,5808,0.256853,339.9
base80,p1,Kath4,kath4-sshswitch-bond-lacp-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,14,13,188307,31783,14806,0.401096,429.8
base80,p1,Kath4,kath4-sshswitch-bond-lacp-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,18,16743,83072,0,17169,0.203003,445.1
base80,p1,Kath4,kath4-sshswitch-bond-lacp-down,sade,claude-sonnet-4-6,scored,True,True,0.7499999999999999,1.0,0.9333333333333332,13,19,175726,31819,10660,0.33529,358.1
base80,p1,Kath4,kath4-sshswitch-vlan5-svi-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,13,11,113050,19640,4177,0.173588,243.5
base80,p1,Kath4,kath4-sshswitch-vlan5-svi-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.7000000000000001,11,13782,107904,0,9068,0.121396,299.2
base80,p1,Kath4,kath4-sshswitch-vlan5-svi-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,14,20,227280,35551,13125,0.40177,407.5
base80,p1,Kath4,kath4-sshswitch-vlan6-wrong-ip,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,14,11,102780,19110,4413,0.172038,267.8
base80,p1,Kath4,kath4-sshswitch-vlan6-wrong-ip,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,8,10263,47872,0,5018,0.068993,244.6
base80,p1,Kath4,kath4-sshswitch-vlan6-wrong-ip,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,10,18,151636,28338,8458,0.28197,325.5
base80,p1,Kath4,kath4-switch1-pc5-wrong-vlan,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9333333333333332,10,10,75519,15671,3417,0.135991,224.6
base80,p1,Kath4,kath4-switch1-pc5-wrong-vlan,react-full,gpt-5,scored,True,True,1.0,1.0,1.0,9,13503,15616,0,3554,0.054371,216.1
base80,p1,Kath4,kath4-switch1-pc5-wrong-vlan,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,17,19,181691,34530,11551,0.360616,406.8
base80,p1,Kath4,kath4-switch4-trunk-vlan5-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,15,11,109867,23829,6612,0.224833,277.9
base80,p1,Kath4,kath4-switch4-trunk-vlan5-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.9333333333333332,10,15215,90240,0,9281,0.123109,303.7
base80,p1,Kath4,kath4-switch4-trunk-vlan5-down,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,13,19,188700,36525,13475,0.399062,416.9
base80,p1,Kath5,kath5-pc0-wrong-gateway,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,9,9,60125,16926,4115,0.144543,219.3
base80,p1,Kath5,kath5-pc0-wrong-gateway,react-full,gpt-5,scored,True,True,1.0,1.0,0.7333333333333334,6,5883,13824,0,3146,0.040542,214.4
base80,p1,Kath5,kath5-pc0-wrong-gateway,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,1.0,11,19,123477,17399,4157,0.165982,247.6
base80,p1,Kath5,kath5-r11-redistribute-eigrp-missing,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.9,12,9,59865,18996,6658,0.190404,273.9
base80,p1,Kath5,kath5-r11-redistribute-eigrp-missing,react-full,gpt-5,scored,True,True,1.0,1.0,0.7999999999999999,11,17749,42880,0,7239,0.099936,272.2
base80,p1,Kath5,kath5-r11-redistribute-eigrp-missing,sade,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,14,20,164891,34070,20152,0.480892,537.2
base80,p1,Kath5,kath5-r12-lo-dummy-down,cc-baseline,claude-sonnet-4-6,scored,True,True,1.0,1.0,0.8666666666666667,14,13,103951,26617,15063,0.358279,404.2
base80,p1,Kath5,kath5-r12-lo-dummy-down,react-full,gpt-5,scored,True,True,1.0,1.0,0.5666666666666667,12,11127,85632,0,14961,0.174223,320.2
