scenario,topology,layer,class,fault_family,nika_label,nika_category,in_taxonomy,note
kath2-router0-wrong-static,Kath2,base,base,misconfigured static route,host_static_blackhole,MISCONFIGURATION,true,partial: static-route misconfig on a router (NIKA's is host-level)
kath2-router1-ip-forward-off,Kath2,base,base,ip_forward disabled (silent transit failure),none,NOVEL,false,net.ipv4.ip_forward disabled (silent transit blackhole); not in NIKA
kath2-router1-r0-link-down,Kath2,base,base,link cut,link_down,LINK_FAILURE,true,
kath2-router2-acl-drops-rfc1918,Kath2,base,base,ACL drops legitimate transit,icmp_acl_block,MISCONFIGURATION,true,partial: ACL drops RFC1918 transit broadly (NIKA acl_block is per-protocol)
kath2-router2-r1-link-down,Kath2,base,base,WAN link cut,link_down,LINK_FAILURE,true,
kath2-router2-ripd-down,Kath2,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
kath2-switch0-bridge-down,Kath2,base,base,L2 switch fabric down,none,NOVEL,false,traditional L2 linux-bridge down; NIKA switch faults are SDN/bmv2 only
kath2-false-premise-cs-lab-server-room-unreachable,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise CS -> Server Room RIP-route ticket)
kath2-false-premise-dept-gateway-flapping,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise dept gateway-flap ticket)
kath2-false-premise-healthy,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise ticket)
kath2-false-premise-interdept,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise inter-department ticket)
kath2-false-premise-it-lab3-isolated,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise single-host isolation ticket)
kath2-false-premise-office-internet-lab-unreachable,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Office -> Internet Lab WAN-link ticket)
kath2-false-premise-rip-reconverging,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise RIP-instability/re-convergence ticket)
kath2-false-premise-router0-dropping-packets,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise router0 packet-drop ticket)
kath2-false-premise-switch0-failed,Kath2,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise IT-dept switch-failure ticket)
kath2-pc1-wrong-netmask-misdescribed,Kath2,cex,wrong-cause,host misconfig (misdescribed cause),host_incorrect_netmask,END_HOST_FAILURE,true,fault maps; prompt misdescribes the cause as a router2 gateway misconfiguration (robustness perturbation dimension)
kath2-router0-ripd-down-misdirected,Kath2,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected (robustness perturbation dimension)
kath2-router1-ip-forward-off-misdirected,Kath2,cex,wrong-device,ip_forward disabled (misdirected prompt),none,NOVEL,false,net.ipv4.ip_forward disabled (silent transit blackhole); not in NIKA; prompt is misdirected (robustness perturbation dimension)
kath2-router2-acl-drops-rfc1918-misdescribed,Kath2,cex,wrong-cause,ACL drops legitimate transit (misdescribed cause),icmp_acl_block,MISCONFIGURATION,true,partial: ACL drops RFC1918 transit broadly (NIKA acl_block is per-protocol); prompt misdescribes the cause as a router2 ripd outage (robustness perturbation dimension)
kath2-router2-ripd-down-misdescribed,Kath2,cex,wrong-cause,routing daemon down (misdescribed cause),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt misdescribes the cause as a router2 WAN link failure (robustness perturbation dimension)
kath2-switch0-bridge-down-misdirected,Kath2,cex,wrong-device,L2 switch fabric down (misdirected prompt),none,NOVEL,false,traditional L2 linux-bridge down; NIKA switch faults are SDN/bmv2 only; prompt is misdirected (robustness perturbation dimension)
kath3-laptop0-wrong-gateway,Kath3,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
kath3-mswitch1-vlan10-trunk-misconfig,Kath3,base,base,VLAN trunk subinterface down,none,NOVEL,false,VLAN trunk subinterface misconfig; not in NIKA
kath3-pc11-ip-conflict,Kath3,base,base,IP address conflict,host_ip_conflict,END_HOST_FAILURE,true,
kath3-pc15-wrong-gateway,Kath3,base,base,host misconfig (default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
kath3-pc4-ip-conflict,Kath3,base,base,IP address conflict,host_ip_conflict,END_HOST_FAILURE,true,
kath3-router0-ripd-down,Kath3,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
kath3-router1-ripd-down,Kath3,base,base,routing daemon down (core transit),frr_service_down,NETWORK_NODE_ERROR,true,
kath3-router2-r1-link-down,Kath3,base,base,WAN link cut,link_down,LINK_FAILURE,true,
kath3-router4-r3-link-down,Kath3,base,base,WAN link cut,link_down,LINK_FAILURE,true,
kath3-router6-default-route-missing,Kath3,base,base,default route missing (asymmetric impact),none,NOVEL,false,router default-route missing (asymmetric impact); not in NIKA
kath3-false-premise-gateway-flapping,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise gateway-flap ticket)
kath3-false-premise-intervlan,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise inter-VLAN ticket)
kath3-false-premise-intra-locationA-neighbor,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise intra-VLAN neighbor / switch1 ticket)
kath3-false-premise-intra-locationB-neighbor,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise intra-Location-B neighbor ticket)
kath3-false-premise-locationA-outage,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Location A egress-outage ticket)
kath3-false-premise-locationC-isolated,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Location C total-isolation ticket)
kath3-false-premise-rip-flapping,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise RIP cross-site flapping ticket)
kath3-false-premise-router4-down,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise router4/Location C gateway-down ticket)
kath3-false-premise-vlan20-to-vlan10,Kath3,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise VLAN 20 -> VLAN 10 inter-VLAN ticket)
kath3-laptop0-wrong-gateway-misdescribed,Kath3,cex,wrong-cause,host misconfig (wrong default gateway) (misdescribed cause),host_incorrect_gateway,END_HOST_FAILURE,true,fault maps; prompt misdescribes the cause as a router0 VLAN-20 sub-interface failure (robustness perturbation dimension)
kath3-mswitch1-vlan10-trunk-misconfig-misdirected,Kath3,cex,wrong-device,VLAN trunk subinterface down (misdirected prompt),none,NOVEL,false,VLAN trunk subinterface misconfig; not in NIKA. Prompt is misdirected at router0's VLAN-10 sub-interface (robustness perturbation dimension)
kath3-router0-ripd-down-misdescribed,Kath3,cex,wrong-cause,routing daemon down (misdescribed cause),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt misdescribes the cause as a router0->router1 link failure (robustness perturbation dimension)
kath3-router0-ripd-down-misdirected,Kath3,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at mswitch1 (robustness perturbation dimension)
kath3-router1-ripd-down-misdescribed,Kath3,cex,wrong-cause,routing daemon down (misdescribed cause),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt misdescribes the cause as a router0<->router1 link failure (robustness perturbation dimension)
kath3-router4-r3-link-down-misdirected,Kath3,cex,wrong-device,WAN link cut (misdirected prompt),link_down,LINK_FAILURE,true,fault maps; prompt is misdirected at router3 (robustness perturbation dimension)
kath4-mswitch0-ospfd-down,Kath4,base,base,routing daemon down (multilayer switch),frr_service_down,NETWORK_NODE_ERROR,true,
kath4-router11-default-route-missing,Kath4,base,base,missing static / default,none,NOVEL,false,router default/static missing; not in NIKA
kath4-router16-ospfd-down,Kath4,base,base,routing daemon down (Campus-1 edge),frr_service_down,NETWORK_NODE_ERROR,true,
kath4-router7-r10-link-down,Kath4,base,base,WAN link cut (backbone),link_down,LINK_FAILURE,true,
kath4-router8-ospf-area-mismatch,Kath4,base,base,OSPF area mismatch,ospf_area_misconfiguration,MISCONFIGURATION,true,
kath4-sshswitch-bond-lacp-down,Kath4,base,base,port-channel (bond) down,none,NOVEL,false,LACP/bond down; not in NIKA
kath4-sshswitch-vlan5-svi-down,Kath4,base,base,SVI down,none,NOVEL,false,VLAN SVI down; not in NIKA
kath4-sshswitch-vlan6-wrong-ip,Kath4,base,base,SVI IP misconfig (wrong gateway address),none,NOVEL,false,SVI IP misconfig (switch gateway); partial overlap host_incorrect_ip
kath4-switch1-pc5-wrong-vlan,Kath4,base,base,access port in wrong VLAN,none,NOVEL,false,access port in wrong VLAN; not in NIKA
kath4-switch4-trunk-vlan5-down,Kath4,base,base,VLAN trunk subinterface down,none,NOVEL,false,VLAN trunk subinterface down; not in NIKA
kath4-false-premise-campus-isolation,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise Campus 1 edge-outage ticket)
kath4-false-premise-gateway-flapping,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise gateway-flap ticket)
kath4-false-premise-ospf-area-unstable,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise OSPF-area-flapping ticket)
kath4-false-premise-ospf-route-missing,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise missing-OSPF-route ticket)
kath4-false-premise-pc11-isolated,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise single-host PC11 isolation ticket)
kath4-false-premise-router16-core-down,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise router16 core-down ticket)
kath4-false-premise-sshswitch-svi-down,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise sshswitch SVI-down ticket)
kath4-false-premise-svi-intervlan,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise SVI / inter-VLAN ticket)
kath4-false-premise-switch4-trunk-vlan-dropped,Kath4,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise switch4 trunk VLAN-dropped ticket)
kath4-mswitch0-ospfd-down-misdirected,Kath4,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at router11 (robustness perturbation dimension)
kath4-router16-ospfd-down-misdescribed,Kath4,cex,wrong-cause,routing daemon down (misdescribed cause),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt misdescribes the cause as a mswitch0<->router16 link failure (robustness perturbation dimension)
kath4-router16-ospfd-down-misdirected,Kath4,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at mswitch0 (robustness perturbation dimension)
kath4-router7-r10-link-down-misdescribed,Kath4,cex,wrong-cause,WAN link cut (misdescribed cause),link_down,LINK_FAILURE,true,fault maps; prompt misdescribes the cause as a router7 ospfd crash (robustness perturbation dimension)
kath4-sshswitch-vlan5-svi-down-misdescribed,Kath4,cex,wrong-cause,SVI down (misdescribed cause),none,NOVEL,false,VLAN SVI down; not in NIKA; prompt misdescribes the cause as a trunk uplink failure (robustness perturbation dimension)
kath4-switch1-pc5-wrong-vlan-misdirected,Kath4,cex,wrong-device,access port in wrong VLAN (misdirected prompt),none,NOVEL,false,access port in wrong VLAN; not in NIKA; prompt is misdirected at switch4's trunk (robustness perturbation dimension)
kath5-pc0-wrong-gateway,Kath5,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
kath5-r11-redistribute-eigrp-missing,Kath5,base,base,route redistribution missing,none,NOVEL,false,EIGRP redistribution missing; NIKA has no EIGRP
kath5-r12-lo-dummy-down,Kath5,base,base,loopback advertisement loss,none,NOVEL,false,loopback advertisement loss; not in NIKA
kath5-r13-eigrp-wrong-as,Kath5,base,base,EIGRP AS mismatch,none,NOVEL,false,EIGRP AS mismatch; NIKA has bgp_asn_misconfig but no EIGRP
kath5-r2-area4-stub-removed,Kath5,base,base,OSPF area stub config removed,ospf_area_misconfiguration,MISCONFIGURATION,true,
kath5-r3-r9-link-down,Kath5,base,base,WAN link cut (backbone),link_down,LINK_FAILURE,true,
kath5-r4-virtual-link-removed,Kath5,base,base,OSPF virtual-link removed,ospf_area_misconfiguration,MISCONFIGURATION,true,partial: OSPF virtual-link removal (area-connectivity misconfig)
kath5-r6-ospfd-down,Kath5,base,base,routing daemon down (intermediate router),frr_service_down,NETWORK_NODE_ERROR,true,
kath5-r7-ospfd-down,Kath5,base,base,routing daemon down (ABR isolates an area),frr_service_down,NETWORK_NODE_ERROR,true,
kath5-r8-virtual-link-removed,Kath5,base,base,OSPF virtual-link removed (other side),ospf_area_misconfiguration,MISCONFIGURATION,true,partial: OSPF virtual-link removal (other endpoint)
kath5-false-premise-area4-virtual-link-collapsed,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise OSPF virtual-link collapse / area-unreachable ticket)
kath5-false-premise-cross-core-outage,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise cross-core outage ticket)
kath5-false-premise-eigrp-ospf-split,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise EIGRP<->OSPF redistribution split ticket)
kath5-false-premise-gateway-flapping,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise gateway/EIGRP-flap ticket)
kath5-false-premise-pc0-cannot-reach-pc12,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise PC0-can't-reach-PC12 / core-link-down ticket)
kath5-false-premise-r6-backbone-crashed,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise backbone-router-crash R6/R7 ticket)
kath5-false-premise-r7-region-missing,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise R7-region withdrawal ticket)
kath5-false-premise-route-flapping-latency,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise route-flapping / latency-spike ticket)
kath5-false-premise-stub-summarization-loop,Kath5,cex,false-premise,negative-control (false premise),none,NOVEL,false,robustness negative-control: no fault injected (false-premise OSPF stub / route-summarization-loop ticket)
kath5-r11-redistribute-eigrp-missing-misdescribed,Kath5,cex,wrong-cause,route redistribution missing (misdescribed cause),none,NOVEL,false,EIGRP redistribution missing; NIKA has no EIGRP. Prompt misdescribes the cause as a boundary link failure (robustness perturbation dimension)
kath5-r2-area4-stub-removed-misdescribed,Kath5,cex,wrong-cause,OSPF area stub config removed (misdescribed cause),ospf_area_misconfiguration,MISCONFIGURATION,true,fault maps; prompt misdescribes the cause as an R2 ospfd crash (robustness perturbation dimension)
kath5-r3-r9-link-down-misdirected,Kath5,cex,wrong-device,WAN link cut (misdirected prompt),link_down,LINK_FAILURE,true,fault maps; prompt is misdirected at R9 (robustness perturbation dimension)
kath5-r6-ospfd-down-misdirected,Kath5,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at R7 (robustness perturbation dimension)
kath5-r7-ospfd-down-misdescribed,Kath5,cex,wrong-cause,routing daemon down (misdescribed cause),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt misdescribes the cause as an R6<->R7 link failure (robustness perturbation dimension)
kath5-r7-ospfd-down-misdirected,Kath5,cex,wrong-device,routing daemon down (misdirected prompt),frr_service_down,NETWORK_NODE_ERROR,true,fault maps; prompt is misdirected at R6 (robustness perturbation dimension)
dc-clos-leaf0-acl-drops-transit,dc_clos_bgp,base,base,ACL drops legitimate transit (iptables FORWARD),icmp_acl_block,MISCONFIGURATION,true,partial: the DROP rule blocks ALL forwarded traffic between the two host subnets (NIKA acl_block labels are per-protocol; the observed symptom here is ICMP)
dc-clos-leaf0-bgpd-down,dc_clos_bgp,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
dc-clos-leaf0-network-missing,dc_clos_bgp,base,base,BGP config error (network advertisement missing),bgp_missing_route_advertisement,MISCONFIGURATION,true,
dc-clos-leaf0-spine1-link-down,dc_clos_bgp,base,base,"link cut (fabric tier, redundancy/ECMP degradation)",link_down,LINK_FAILURE,true,
dc-clos-leaf1-both-uplinks-down,dc_clos_bgp,base,base,link cut (both fabric uplinks of one leaf),link_down,LINK_FAILURE,true,both spine uplinks of one leaf cut simultaneously (link_down x2 on the same device)
dc-clos-leaf1-neighbors-removed,dc_clos_bgp,base,base,BGP config error (neighbor statements removed),none,NOVEL,false,"BGP neighbor statements removed; closest NIKA label is ospf_neighbor_missing, which is OSPF-only -- no BGP-neighbor-removal label in the taxonomy"
dc-clos-pc0-wrong-gateway,dc_clos_bgp,base,base,host misconfig (wrong default gateway),host_incorrect_gateway,END_HOST_FAILURE,true,
dc-clos-spine0-bgpd-down,dc_clos_bgp,base,base,"routing daemon down (redundancy loss, no user outage)",frr_service_down,NETWORK_NODE_ERROR,true,
dc-clos-spine1-wrong-remote-as,dc_clos_bgp,base,base,BGP config error (wrong remote-as on a neighbor),bgp_asn_misconfig,MISCONFIGURATION,true,partial: NIKA's bgp_asn_misconfig rewrites the router's own local ASN; here the neighbor remote-as statement is wrong -- same AS-mismatch session failure observed from the peer
dc-clos-superspine-zebra-down,dc_clos_bgp,base,base,"routing daemon down (zebra, management-plane failure)",frr_service_down,NETWORK_NODE_ERROR,true,"partial: the FRR service is only partially down -- zebra (and watchfrr) killed, bgpd left running"
dc-clos-false-premise-bgp-flapping,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise BGP-flapping ticket)
dc-clos-false-premise-ecmp-polarized,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise broken-ECMP / polarized-path ticket)
dc-clos-false-premise-fabric-down,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise CLOS-fabric-outage ticket)
dc-clos-false-premise-latency-spikes,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise latency-spike / fabric-congestion ticket)
dc-clos-false-premise-leaf-flap,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise flapping-leaf ticket)
dc-clos-false-premise-leaf-uplinks-down,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise leaf-uplinks-down ticket)
dc-clos-false-premise-link-down,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise fabric-link-down ticket)
dc-clos-false-premise-spine-crash,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise spine-crash ticket)
dc-clos-false-premise-superspine-blackhole,dc_clos_bgp,cex,false-premise,negative-control (false premise),none,NOVEL,false,NIKA-substrate negative-control (clean dc_clos_bgp fabric; no fault injected; false-premise super-spine-blackhole ticket)
dc-clos-leaf0-bgpd-down-misdescribed,dc_clos_bgp,cex,wrong-cause,routing daemon down (misdescribed ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdescribed counter-example (clean dc_clos_bgp fabric; real bgpd-down fault on leaf_router_0_0; ticket blames a physical fabric link)
dc-clos-leaf0-bgpd-down-misdirected,dc_clos_bgp,cex,wrong-device,routing daemon down (misdirected ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean dc_clos_bgp fabric; real bgpd-down fault on leaf_router_0_0; ticket blames a spine)
dc-clos-leaf0-hostlink-down-misdescribed,dc_clos_bgp,cex,wrong-cause,link down (misdescribed ticket),link_down,LINK_FAILURE,true,NIKA-substrate misdescribed counter-example (clean dc_clos_bgp fabric; real access-link-down fault on leaf_router_0_0 eth2; ticket blames the host NIC/cable)
dc-clos-leaf0-hostlink-down-misdirected,dc_clos_bgp,cex,wrong-device,link down (misdirected ticket),link_down,LINK_FAILURE,true,NIKA-substrate misdirected counter-example (clean dc_clos_bgp fabric; real access-link-down fault on leaf_router_0_0 eth2; ticket blames a spine)
dc-clos-leaf1-bgpd-down-misdescribed,dc_clos_bgp,cex,wrong-cause,routing daemon down (misdescribed ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdescribed counter-example (clean dc_clos_bgp fabric; real bgpd-down fault on leaf_router_0_1; ticket blames a host NIC/cable)
dc-clos-leaf1-bgpd-down-misdirected,dc_clos_bgp,cex,wrong-device,routing daemon down (misdirected ticket),frr_service_down,NETWORK_NODE_ERROR,true,NIKA-substrate misdirected counter-example (clean dc_clos_bgp fabric; real bgpd-down fault on leaf_router_0_1; ticket blames a spine)
ospf-enterprise-core1-core3-link-down,ospf_enterprise_static,base,base,"link cut (backbone redundancy loss, traffic rerouted)",link_down,LINK_FAILURE,true,
ospf-enterprise-core2-ospfd-down,ospf_enterprise_static,base,base,routing daemon down,frr_service_down,NETWORK_NODE_ERROR,true,
ospf-enterprise-core3-acl-blocks-serverfarm,ospf_enterprise_static,base,base,ACL drops legitimate transit,icmp_acl_block,MISCONFIGURATION,true,"partial: the ACL drops ALL farm-bound transit, not one protocol (NIKA acl_block is per-protocol)"
ospf-enterprise-dist1-network-statement-removed,ospf_enterprise_static,base,base,OSPF network statement removed,ospf_area_misconfiguration,MISCONFIGURATION,true,partial: a prefix advertisement (network statement) is removed rather than assigned a wrong area ID; closest NIKA OSPF-misconfiguration label
ospf-enterprise-dist2-uplink-wrong-area,ospf_enterprise_static,base,base,OSPF area mismatch,ospf_area_misconfiguration,MISCONFIGURATION,true,
